Name,Abbr Name,ISSN,EISSN,JIF,JIF5Years,Domain,Area,Rank,Normalized Journal,Journal_Abbreviation,Acronym_Candidate
Journal of Early Modern History,J EARLY MOD HIST,1385-3783,1570-0658,0.5,0.6,HISTORY,Q1,84/518,journal of early modern history,,
Studies in Documentary Film,STUD DOC FILM,1750-3280,1750-3299,0.5,0.8,"FILM, RADIO, TELEVISION",N/A,N/A,studies in documentary film,,
Translation and Literature,TRANSL LIT,0968-1361,1750-0214,0.5,0.4,LITERATURE,N/A,N/A,translation and literature,,
Interventions-International Journal of Postcolonial Studies,INTERVENTIONS-UK,1369-801X,1469-929X,0.5,0.9,HISTORY,Q1,84/518,interventions international journal of postcolonial studies,,
Journal for the Academic Study of Religion,J ACAD STUDY RELIG,2047-704X,2047-7058,0.5,0.3,RELIGION,N/A,N/A,journal for the academic study of religion,,
Language Dynamics and Change,LANG DYN CHANG,2210-5824,2210-5832,0.5,1.0,LANGUAGE & LINGUISTICS,N/A,N/A,language dynamics and change,,
Nova Religio-Journal of Alternative and Emergent Religions,NOVA RELIG,1092-6690,1541-8480,0.5,0.4,RELIGION,N/A,N/A,nova religio journal of alternative and emergent religions,,
Panta Rei-Digital Journal of History and Didactics of History,PANTA REI,1136-2464,2386-8864,0.5,0.4,HISTORY,Q1,84/518,panta rei digital journal of history and didactics of history,,
Philosophical Papers,PHILOS PAP,0556-8641,1996-8523,0.5,1.3,PHILOSOPHY,N/A,N/A,philosophical papers,,
Arte Individuo y Sociedad,ARTE INDIVIDUO SOC,1131-5598,1988-2408,0.5,0.6,ART,N/A,N/A,arte individuo y sociedad,,
Colonial Latin American Review,COLON LAT AM REV,1060-9164,1466-1802,0.5,0.6,HISTORY,Q1,84/518,colonial latin american review,,
JOURNAL OF RELIGIOUS ETHICS,J RELIG ETHICS,0384-9694,1467-9795,0.5,0.7,RELIGION,N/A,N/A,journal of religious ethics,,
Comics Grid-Journal of Comics Scholarship,COMICS GRID-J COMICS,2048-0792,2048-0792,0.5,0.4,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,comics grid journal of comics scholarship,,
Dao-A Journal of Comparative Philosophy,DAO,1540-3009,1569-7274,0.5,0.5,PHILOSOPHY,N/A,N/A,dao a journal of comparative philosophy,,
ASIAN PHILOSOPHY,ASIAN PHILOS,0955-2367,1469-2961,0.5,0.5,PHILOSOPHY,N/A,N/A,asian philosophy,,ASIAN
AMERICAN QUARTERLY,AM QUART,0003-0678,1080-6490,0.5,0.9,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,american quarterly,,
HTS Teologiese Studies-Theological Studies,HTS TEOL STUD-THEOL,0259-9422,2072-8050,0.5,0.5,RELIGION,N/A,N/A,hts teologiese studies theological studies,,HTS
JOURNAL OF THE AMERICAN ORIENTAL SOCIETY,J AM ORIENTAL SOC,0003-0279,2169-2289,0.5,0.5,ASIAN STUDIES,N/A,N/A,journal of the american oriental society,,
NEW TESTAMENT STUDIES,NEW TESTAMENT STUD,0028-6885,1469-8145,0.5,0.6,RELIGION,N/A,N/A,new testament studies,,NEW
Chinese Journal of Comparative Law,CHIN J COMP LAW,2050-4802,2050-4810,0.5,0.8,LAW,Q3,211/421,chinese journal of comparative law,,
JOURNAL OF EARLY CHRISTIAN STUDIES,J EARLY CHRISTIAN ST,1067-6341,1086-3184,0.5,0.7,RELIGION,N/A,N/A,journal of early christian studies,,
Midwest Studies in Philosophy,MIDWEST STUD PHILOS,0363-6550,1475-4975,0.5,,PHILOSOPHY,N/A,N/A,midwest studies in philosophy,,
MUSLIM WORLD,MUSLIM WORLD,0027-4909,1478-1913,0.5,0.4,RELIGION,N/A,N/A,muslim world,,MUSLIM
MODERN JUDAISM,MOD JUDAISM,0276-1114,1086-3273,0.5,0.4,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,modern judaism,,
Terrae Incognitae-The Journal of the Society for the History of Discoveries,TERR INCOGN,0082-2884,2040-8706,0.5,0.4,HISTORY,Q1,84/518,terrae incognitae the journal of the society for the history of discoveries,,
Religion Compass,RELIG COMPASS,1749-8171,1749-8171,0.5,0.6,RELIGION,N/A,N/A,religion compass,,
URBAN HISTORY REVIEW-REVUE D HISTOIRE URBAINE,URBAN HIST REV,0703-0428,1918-5138,0.5,0.4,HISTORY,Q1,84/518,urban history review revue d histoire urbaine,,URBAN
OPERA QUARTERLY,OPERA QUART,0736-0053,1476-2870,0.5,0.4,MUSIC,N/A,N/A,opera quarterly,,OPERA
Twentieth-Century Music,TWENT-CENTURY MUSIC,1478-5722,1478-5730,0.5,0.6,MUSIC,N/A,N/A,twentieth century music,,
HARVARD JOURNAL OF ASIATIC STUDIES,HARVARD J ASIAT STUD,0073-0548,1944-6454,0.5,0.6,HISTORY,Q1,84/518,harvard journal of asiatic studies,,HARVARD
Journal for the Study of the New Testament,J STUD NEW TESTAMENT,0142-064X,1745-5294,0.5,0.7,RELIGION,N/A,N/A,journal for the study of the new testament,,
Digital Humanities Quarterly,DIGIT HUMANITIES Q,1938-4122,1938-4122,0.5,0.6,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,digital humanities quarterly,,
Lege Artis-Language Yesterday Today Tomorrow,LEGE ARTIS-LANG YEST,2453-8035,2453-8035,0.5,0.6,LANGUAGE & LINGUISTICS,N/A,N/A,lege artis language yesterday today tomorrow,,
MUSIC ANALYSIS,MUSIC ANAL,0262-5245,1468-2249,0.5,0.4,MUSIC,N/A,N/A,music analysis,,MUSIC
HARVARD THEOLOGICAL REVIEW,HARVARD THEOL REV,0017-8160,1475-4517,0.5,0.5,RELIGION,N/A,N/A,harvard theological review,,HARVARD
Mediterranean Historical Review,MEDITERR HIST REV,0951-8967,1743-940X,0.5,0.5,HISTORY,Q1,84/518,mediterranean historical review,,
South Asian Studies,S ASIAN STUD-UK,0266-6030,2153-2699,0.5,1.2,ASIAN STUDIES,N/A,N/A,south asian studies,,
Journal of Late Antiquity,J LATE ANTIQUITY,1939-6716,1942-1273,0.5,0.6,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,journal of late antiquity,,
China Report,CHINA REP,0009-4455,0973-063X,0.5,0.9,AREA STUDIES,Q3,97/176,china report,,
Ergo-An Open Access Journal of Philosophy,ERGO-ANN ARBOR,2330-4014,2330-4014,0.5,0.8,PHILOSOPHY,N/A,N/A,ergo an open access journal of philosophy,,
India Review,INDIA REV,1473-6489,1557-3036,0.5,0.7,AREA STUDIES,Q3,97/176,india review,,
INTERNATIONAL LABOR AND WORKING-CLASS HISTORY,INT LABOR WORK-CLASS,0147-5479,1471-6445,0.5,0.8,INDUSTRIAL RELATIONS & LABOR,Q4,41/49,international labor and working class history,,
Discussiones Mathematicae Graph Theory,DISCUSS MATH GRAPH T,1234-3099,2083-5892,0.5,0.6,MATHEMATICS,Q3,325/489,discussiones mathematicae graph theory,,
JOURNAL OF URBAN HISTORY,J URBAN HIST,0096-1442,1552-6771,0.5,0.5,URBAN STUDIES,Q4,64/77,journal of urban history,,
European Journal of Legal Studies,EUR J LEG STUD,,1973-2937,0.5,0.6,LAW,Q3,211/421,european journal of legal studies,,
Book History,BOOK HIST,1098-7371,1529-1499,0.5,0.4,HISTORY,Q1,84/518,book history,,
Music Sound and the Moving Image,MUSIC SOUND MOV IMAG,1753-0768,1753-0776,0.5,0.7,"FILM, RADIO, TELEVISION",N/A,N/A,music sound and the moving image,,
Transnational Screens,TRANSNATL SCRE,2578-5273,2578-5265,0.5,0.6,"FILM, RADIO, TELEVISION",N/A,N/A,transnational screens,,
ISLAM-ZEITSCHRIFT FUR GESCHICHTE UND KULTUR DES ISLAMISCHEN ORIENTS,ISLAM,0021-1818,1613-0928,0.5,0.5,RELIGION,N/A,N/A,islam zeitschrift fur geschichte und kultur des islamischen orients,,ISLAM
Law & Practice of International Courts and Tribunals,LAW PRACT INT COURTS,1569-1853,1571-8034,0.5,0.6,LAW,Q3,211/421,law and practice of international courts and tribunals,,
AMERICAN JOURNAL OF SEMIOTICS,AM J SEMIOTICS,0277-7126,2153-2990,0.5,0.4,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,american journal of semiotics,,
Anuario de Estudios Americanos,ANU ESTUD AM,0210-5810,1988-4273,0.5,0.4,HISTORY,Q1,84/518,anuario de estudios americanos,,
STUF-Language Typology and Universals,STUF-LANG TYPOL UNIV,1867-8319,2196-7148,0.5,0.5,LANGUAGE & LINGUISTICS,N/A,N/A,stuf language typology and universals,,
Home Cultures,HOME CULT,1740-6315,1751-7427,0.5,0.7,ARCHITECTURE,N/A,N/A,home cultures,,
Zeitschrift fur Assyriologie und Vorderasiatische Archaologie,Z ASSYRIOL VORDERASI,0084-5299,1613-1150,0.5,0.4,LANGUAGE & LINGUISTICS,N/A,N/A,zeitschrift fur assyriologie und vorderasiatische archaologie,,
ARCHIV FUR GESCHICHTE DER PHILOSOPHIE,ARCH GESCH PHILOS,0003-9101,1613-0650,0.5,0.5,PHILOSOPHY,N/A,N/A,archiv fur geschichte der philosophie,,
Journal of Nusantara Studies-JONUS,J NUSANT STUD-JONUS,0127-9319,0127-9386,0.5,0.4,AREA STUDIES,Q3,97/176,journal of nusantara studies jonus,,
Asian Journal of Law and Economics,ASIAN J LAW ECON,2194-6086,2154-4611,0.5,0.6,LAW,Q3,211/421,asian journal of law and economics,,
JOURNAL OF ANALYTICAL PSYCHOLOGY,J ANAL PSYCHOL,0021-8774,1468-5922,0.5,0.5,"PSYCHOLOGY, PSYCHOANALYSIS",Q2,10/21,journal of analytical psychology,,
Eurasian Journal of Applied Linguistics,EURASIAN J APPL LING,2149-1135,2149-1135,0.5,0.7,LINGUISTICS,Q3,206/297,eurasian journal of applied linguistics,,
Journal of Topology and Analysis,J TOPOL ANAL,1793-5253,1793-7167,0.5,0.6,MATHEMATICS,Q3,325/489,journal of topology and analysis,,
AMERICAN JOURNAL OF LAW & MEDICINE,AM J LAW MED,0098-8588,2375-835X,0.5,0.8,LAW,Q3,211/421,american journal of law and medicine,,
European Journal of Crime Criminal Law and Criminal Justice,EUR J CRIME CRIM LAW,0928-9569,1571-8174,0.5,0.8,LAW,Q3,211/421,european journal of crime criminal law and criminal justice,,
ISSUES IN LAW & MEDICINE,ISSUES LAW MED,8756-8160,,0.5,0.6,LAW,Q3,211/421,issues in law and medicine,,ISSUES
Tizard Learning Disability Review,TIZARD LEARN DISABIL,1359-5474,2042-8782,0.5,0.8,"EDUCATION, SPECIAL",Q4,59/62,tizard learning disability review,,
ARBOR-CIENCIA PENSAMIENTO Y CULTURA,ARBOR,0210-1963,1988-303X,0.5,0.5,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,arbor ciencia pensamiento y cultura,,ARBOR
Boletin del Museo Chileno de Arte Precolombino,B MUS CHIL ARTE PREC,0716-1530,0718-6894,0.5,0.6,ART,N/A,N/A,boletin del museo chileno de arte precolombino,,
HISTORY OF EUROPEAN IDEAS,HIST EUR IDEA,0191-6599,1873-541X,0.5,0.6,PHILOSOPHY,N/A,N/A,history of european ideas,,
Journal of Historical Linguistics,J HIST LINGUIST,2210-2116,2210-2124,0.5,0.5,LANGUAGE & LINGUISTICS,N/A,N/A,journal of historical linguistics,,
Journal of Philosophical Research,J PHILOS RES,1053-8364,2153-7984,0.5,0.7,PHILOSOPHY,N/A,N/A,journal of philosophical research,,
EGE-Revista de Expresion Grafica en la Edificacion,EGE-REV EXPR GRAF ED,1888-8143,2605-082X,0.5,,ARCHITECTURE,N/A,N/A,ege revista de expresion grafica en la edificacion,,
Anthropological Measurements of Philosophical Research,ANTHROPOL MEAS PHILO,2227-7242,2304-9685,0.5,0.3,PHILOSOPHY,N/A,N/A,anthropological measurements of philosophical research,,
Economy of Region,EKON REG,2072-6414,2411-1406,0.5,0.5,AREA STUDIES,Q3,97/176,economy of region,,
South Asian Diaspora,SOUTH ASIAN DIASPORA,1943-8192,1943-8184,0.5,0.6,AREA STUDIES,Q3,97/176,south asian diaspora,,
Languages in Contrast,LANG CONTRAST,1387-6759,1569-9897,0.5,0.5,LANGUAGE & LINGUISTICS,N/A,N/A,languages in contrast,,
Social Dynamics-A Journal of African Studies,SOC DYNAMICS,0253-3952,1940-7874,0.5,0.9,AREA STUDIES,Q3,97/176,social dynamics a journal of african studies,,
TRAMES-Journal of the Humanities and Social Sciences,TRAMES-J HUMANIT SOC,1406-0922,1736-7514,0.5,0.5,"SOCIAL SCIENCES, INTERDISCIPLINARY",Q3,166/263,trames journal of the humanities and social sciences,,
INDAGATIONES MATHEMATICAE-NEW SERIES,INDAGAT MATH NEW SER,0019-3577,1872-6100,0.5,0.7,MATHEMATICS,Q3,325/489,indagationes mathematicae new series,,
Comparative Southeast European Studies,COMP SE EUR STUD,2701-8199,2701-8202,0.5,0.5,AREA STUDIES,Q3,97/176,comparative southeast european studies,,
Complex Manifolds,COMPLEX MANIFOLDS,2300-7443,2300-7443,0.5,0.6,MATHEMATICS,Q3,325/489,complex manifolds,,
CANADIAN MATHEMATICAL BULLETIN-BULLETIN CANADIEN DE MATHEMATIQUES,CAN MATH BULL,0008-4395,1496-4287,0.5,0.6,MATHEMATICS,Q3,325/489,canadian mathematical bulletin bulletin canadien de mathematiques,,
Israel Affairs,ISR AFF,1353-7121,1743-9086,0.5,0.6,AREA STUDIES,Q3,97/176,israel affairs,,
Onati Socio-Legal Series,ONATI SOCIO-LEGAL S,,2079-5971,0.5,0.5,LAW,Q3,211/421,onati socio legal series,,
European Public Law,EUR PUBLIC LAW,1354-3725,1875-8207,0.5,0.5,LAW,Q3,211/421,european public law,,
International Journal of Sociology of Education,INT J SOCIOL EDUC,2014-3575,2014-3575,0.5,1.2,SOCIOLOGY,Q4,169/217,international journal of sociology of education,,
Journal of Ancient Near Eastern History,J ANC NEAR E HIST,2328-9554,2328-9562,0.5,,HISTORY,Q1,84/518,journal of ancient near eastern history,,
Journal of Language Contact,J LANG CONTACT,1877-4091,1955-2629,0.5,0.6,LANGUAGE & LINGUISTICS,N/A,N/A,journal of language contact,,
Journal of Popular Music Studies,J POP MUSIC STUD,1524-2226,1533-1598,0.5,0.6,MUSIC,N/A,N/A,journal of popular music studies,,
Metal Music Studies,METAL MUSIC STUD,2052-3998,2052-4005,0.5,,MUSIC,N/A,N/A,metal music studies,,
Revista Juridica Portucalense,REV JURID PORTUCALEN,2183-5799,2183-5705,0.5,,LAW,Q3,211/421,revista juridica portucalense,,
China-An International Journal,CHINA INT J,0219-7472,0219-8614,0.5,0.8,AREA STUDIES,Q3,97/176,china an international journal,,
GERMAN POLITICS AND SOCIETY,GER POLIT SOC,1045-0300,1558-5441,0.5,0.9,AREA STUDIES,Q3,97/176,german politics and society,,
International Journal of Humanities and Arts Computing-A Journal of Digital Humanities,INT J HUMANIT ARTS C,1753-8548,1755-1706,0.5,0.5,"HUMANITIES, MULTIDISCIPLINARY",N/A,N/A,international journal of humanities and arts computing a journal of digital humanities,,
JOURNAL OF PIDGIN AND CREOLE LANGUAGES,J PIDGIN CREOLE LANG,0920-9034,1569-9870,0.5,0.5,LINGUISTICS,Q3,206/297,journal of pidgin and creole languages,,
Washington International Law Journal,WASH INT LAW J,2377-0872,2377-0872,0.5,0.7,LAW,Q3,211/421,washington international law journal,,
INTERNATIONAL JOURNAL OF ALGEBRA AND COMPUTATION,INT J ALGEBR COMPUT,0218-1967,1793-6500,0.5,0.5,MATHEMATICS,Q3,325/489,international journal of algebra and computation,,
International Journal of Number Theory,INT J NUMBER THEORY,1793-0421,1793-7310,0.5,0.5,MATHEMATICS,Q3,325/489,international journal of number theory,,
JOURNAL OF POPULAR FILM AND TELEVISION,J POP FILM TV,0195-6051,1930-6458,0.5,0.5,"FILM, RADIO, TELEVISION",N/A,N/A,journal of popular film and television,,
Politics and Religion Journal,POLIT RELIG J,1820-6581,1820-659X,0.5,0.4,RELIGION,N/A,N/A,politics and religion journal,,
ZEITSCHRIFT FUR GERMANISTISCHE LINGUISTIK,Z GER LINGUISTIK,0301-3294,1613-0626,0.5,0.7,LANGUAGE & LINGUISTICS,N/A,N/A,zeitschrift fur germanistische linguistik,,
ACTA ARITHMETICA,ACTA ARITH,0065-1036,1730-6264,0.5,0.5,MATHEMATICS,Q3,325/489,acta arithmetica,,ACTA
Canadian Journal of Applied Linguistics,CAN J APPL LINGUIST,1481-868X,1481-868X,0.5,0.6,LANGUAGE & LINGUISTICS,N/A,N/A,canadian journal of applied linguistics,,
Journal of Language and Literacy Education,J LANG LIT EDUC,1559-9035,1559-9035,0.5,1.0,LANGUAGE & LINGUISTICS,N/A,N/A,journal of language and literacy education,,
Learning Disabilities-A Multidisciplinary Journal,LEARN DISABIL-MULTI,1046-6819,2374-7846,0.5,0.8,"EDUCATION, SPECIAL",Q4,59/62,learning disabilities a multidisciplinary journal,,
Nazariyat-Journal for the History of Islamic Philosophy and Sciences,NAZARIYAT,2528-8563,2547-9415,0.5,0.7,RELIGION,N/A,N/A,nazariyat journal for the history of islamic philosophy and sciences,,
Open Cultural Studies,OPEN CULT STUD,2451-3474,2451-3474,0.5,0.5,CULTURAL STUDIES,Q3,35/59,open cultural studies,,
Psychoanalysis Self and Context,PSYCHOANAL SELF CONT,2472-0038,2472-0046,0.5,0.4,"PSYCHOLOGY, PSYCHOANALYSIS",Q2,10/21,psychoanalysis self and context,,
Rad Hrvatske Akademije Znanosti i Umjetnosti-Matematicke Znanosti,RAD HRVAT AKAD ZNAN,1849-2215,1849-2215,0.5,0.6,MATHEMATICS,Q3,325/489,rad hrvatske akademije znanosti i umjetnosti matematicke znanosti,,
Tang Studies,TANG STUD,0737-5034,1759-7633,0.5,,ASIAN STUDIES,N/A,N/A,tang studies,,
Asian Journal of Middle Eastern and Islamic Studies,ASIAN J MIDDLE E ISL,2576-5949,2576-5957,0.5,,INTERNATIONAL RELATIONS,Q4,127/165,asian journal of middle eastern and islamic studies,,
Journal of Greek Linguistics,J GREEK LINGUIST,1566-5844,1569-9846,0.5,0.5,LANGUAGE & LINGUISTICS,N/A,N/A,journal of greek linguistics,,
Journal of Legal Studies Education,J LEG STUD EDUC,0896-5811,1744-1722,0.5,0.6,LAW,Q3,211/421,journal of legal studies education,,
LABOUR-LE TRAVAIL,LABOUR-TRAVAIL,0700-3862,1911-4842,0.5,0.5,INDUSTRIAL RELATIONS & LABOR,Q4,41/49,labour le travail,,
REVUE BIBLIQUE,REV BIBLIQUE,0035-0907,2466-8583,0.5,0.3,RELIGION,N/A,N/A,revue biblique,,
Nordic Journal of Linguistics,NORD J LINGUIST,0332-5865,1502-4717,0.5,0.5,LINGUISTICS,Q3,206/297,nordic journal of linguistics,,
Rabels Zeitschrift fur Auslandisches und Internationales Privatrecht,RABELS Z AUSL INT PR,0033-7250,1868-7059,0.5,0.4,LAW,Q3,211/421,rabels zeitschrift fur auslandisches und internationales privatrecht,,
ADVANCES IN GEOMETRY,ADV GEOM,1615-715X,1615-7168,0.5,0.5,MATHEMATICS,Q3,325/489,advances in geometry,,
American Review of Canadian Studies,AM REV CAN STUD,0272-2011,1943-9954,0.5,0.4,AREA STUDIES,Q3,97/176,american review of canadian studies,,
AUSTRALIAN ECONOMIC HISTORY REVIEW,AUST ECON HIST REV,0004-8992,1467-8446,0.5,0.7,HISTORY OF SOCIAL SCIENCES,Q3,27/42,australian economic history review,,
Communications of the Korean Mathematical Society,COMMUN KOREAN MATH S,1225-1763,2234-3024,0.5,0.5,MATHEMATICS,Q3,325/489,communications of the korean mathematical society,,
Annals of the University of Craiova-Mathematics and Computer Science Series,ANN UNIV CRAIOVA-MAT,1223-6934,2246-9958,0.5,0.6,MATHEMATICS,Q3,325/489,annals of the university of craiova mathematics and computer science series,,
Journal of Conflict Archaeology,J CONFL ARCHAEOL,1574-0773,1574-0781,0.5,0.5,ARCHAEOLOGY,N/A,N/A,journal of conflict archaeology,,
Language Matters,LANG MATTERS,1022-8195,1753-5395,0.5,0.5,LINGUISTICS,Q3,206/297,language matters,,
Sign Language Studies,SIGN LANG STUD,0302-1475,1533-6263,0.5,0.9,LINGUISTICS,Q3,206/297,sign language studies,,
TESL Canada Journal,TESL CAN J,0826-435X,1925-8917,0.5,0.9,EDUCATION & EDUCATIONAL RESEARCH,Q4,579/756,tesl canada journal,,TESL
Caucasus Survey,CAUCASUS SURV,2376-1199,2376-1202,0.5,,POLITICAL SCIENCE,Q4,242/317,caucasus survey,,
Journal of War & Culture Studies,J WAR CULT STUD,1752-6272,1752-6280,0.5,0.5,CULTURAL STUDIES,Q3,35/59,journal of war and culture studies,,
MIDDLE EASTERN STUDIES,MIDDLE EASTERN STUD,0026-3206,1743-7881,0.5,0.7,AREA STUDIES,Q3,97/176,middle eastern studies,,MIDDLE
Poznan Studies in Contemporary Linguistics,POZ STUD CONTEMP LIN,0137-2459,1897-7499,0.5,0.5,LINGUISTICS,Q3,206/297,poznan studies in contemporary linguistics,,
STUDIES IN LANGUAGE,STUD LANG,0378-4177,1569-9978,0.5,0.5,LINGUISTICS,Q3,206/297,studies in language,,
HUMAN ORGANIZATION,HUM ORGAN,0018-7259,1938-3525,0.5,0.9,"SOCIAL SCIENCES, INTERDISCIPLINARY",Q3,166/263,human organization,,
Malaysian Journal of Mathematical Sciences,MALAYS J MATH SCI,1823-8343,1823-8343,0.5,0.5,MATHEMATICS,Q3,325/489,malaysian journal of mathematical sciences,,
Review of Central and East European Law,REV CENT E EUR LAW,0925-9880,,0.5,0.5,LAW,Q3,211/421,review of central and east european law,,
European Integration Studies,EUR INTEGR STUD,1822-8402,2335-8831,0.5,0.4,AREA STUDIES,Q3,97/176,european integration studies,,
Information Technologies and Learning Tools,INF TECHNOL LEARN TO,2076-8184,2076-8184,0.5,0.5,EDUCATION & EDUCATIONAL RESEARCH,Q4,579/756,information technologies and learning tools,,
International Electronic Journal of Algebra,INT ELECTRON J ALGEB,1306-6048,1306-6048,0.5,0.4,MATHEMATICS,Q3,325/489,international electronic journal of algebra,,
Ufa Mathematical Journal,UFA MATH J,2074-1863,2074-1871,0.5,0.4,MATHEMATICS,Q3,325/489,ufa mathematical journal,,
Acta Crystallographica Section E-Crystallographic Communications,ACTA CRYSTALLOGR E,2056-9890,2056-9890,0.5,0.6,CRYSTALLOGRAPHY,Q4,28/33,acta crystallographica section e crystallographic communications,,
Facta Universitatis-Series Mathematics and Informatics,FACTA UNIV-SER MATH,0352-9665,2406-047X,0.5,0.6,MATHEMATICS,Q3,325/489,facta universitatis series mathematics and informatics,,
Pure and Applied Mathematics Quarterly,PURE APPL MATH Q,1558-8599,1558-8602,0.5,0.6,"MATHEMATICS, APPLIED",Q4,281/331,pure and applied mathematics quarterly,,
CHINESE ANNALS OF MATHEMATICS SERIES B,CHINESE ANN MATH B,0252-9599,1860-6261,0.5,0.6,MATHEMATICS,Q3,325/489,chinese annals of mathematics series b,,CHINESE
Journal of Public Finance and Public Choice,J PUBLIC FINANC PUBL,2515-6918,2515-6926,0.5,,POLITICAL SCIENCE,Q4,242/317,journal of public finance and public choice,,
Armenian Journal of Mathematics,ARMEN J MATH,1829-1163,1829-1163,0.5,0.4,MATHEMATICS,Q3,325/489,armenian journal of mathematics,,
CANADIAN MODERN LANGUAGE REVIEW-REVUE CANADIENNE DES LANGUES VIVANTES,CAN MOD LANG REV,0008-4506,1710-1131,0.5,0.8,LINGUISTICS,Q3,206/297,canadian modern language review revue canadienne des langues vivantes,,
JOURNAL OF EAST ASIAN LINGUISTICS,J EAST ASIAN LINGUIS,0925-8558,1572-8560,0.5,0.6,LINGUISTICS,Q3,206/297,journal of east asian linguistics,,
Problemy Analiza-Issues of Analysis,PROBL ANAL,2306-3424,2306-3432,0.5,0.5,MATHEMATICS,Q3,325/489,problemy analiza issues of analysis,,
South African Review of Sociology,S AFR REV SOCIOL,2152-8586,2072-1978,0.5,0.9,SOCIOLOGY,Q4,169/217,south african review of sociology,,
SOZIALE WELT-ZEITSCHRIFT FUR SOZIALWISSENSCHAFTLICHE FORSCHUNG UND PRAXIS,SOZ WELT,0038-6073,0038-6073,0.5,0.7,SOCIOLOGY,Q4,169/217,soziale welt zeitschrift fur sozialwissenschaftliche forschung und praxis,,
Acta Linguistica Academica,ACTA LINGUIST ACAD,2559-8201,2560-1016,0.5,0.6,LINGUISTICS,Q3,206/297,acta linguistica academica,,
Babel-Revue Internationale de la Traduction-International Journal of Translation,BABEL-AMSTERDAM,0521-9744,1569-9668,0.5,0.6,LINGUISTICS,Q3,206/297,babel revue internationale de la traduction international journal of translation,,
Bulletin of Mathematical Analysis and Applications,BULL MATH ANAL APPL,1821-1291,1821-1291,0.5,0.5,MATHEMATICS,Q3,325/489,bulletin of mathematical analysis and applications,,
